node_id,timestamp,risk_score,trend,model,level
N41,1766652107.371316,0.799,0.0029,centrality,HIGH
N2,1766652108.1795719,0.762,0.0015,centrality,HIGH
N35,1766652108.1802182,0.768,0.0015,centrality,HIGH
N45,1766652108.8759549,0.778,0.0,centrality,HIGH
N33,1766652110.898544,0.754,0.0001,centrality,HIGH
N48,1766652138.401888,0.752,0.0,centrality,HIGH
N15,1766652141.936584,0.773,0.0001,centrality,HIGH
N12,1766652144.4610538,0.754,0.0002,centrality,HIGH
N26,1766652158.253988,0.755,0.0,centrality,HIGH
N38,1766652159.2619112,0.761,0.0,centrality,HIGH
N23,1766652163.604654,0.759,0.0,centrality,HIGH
N31,1766652164.109556,0.761,0.0,centrality,HIGH
N18,1766652165.105948,0.75,0.0,centrality,HIGH
N10,1766652165.625188,0.751,0.0,centrality,HIGH
N41,1766652227.541792,16.765,0.0,centrality,HIGH
N2,1766652228.181581,12.179,0.0,centrality,HIGH
N35,1766652228.182592,12.272,0.0,centrality,HIGH
N45,1766652229.0516312,10.754,0.0,centrality,HIGH
N33,1766652231.209483,8.536,0.0,centrality,HIGH
N48,1766652258.774366,10.116,0.0,centrality,HIGH
N15,1766652261.9440498,7.317,0.0,centrality,HIGH
N12,1766652264.819776,5.272,0.0,centrality,HIGH
N26,1766652278.57636,3.118,0.0,centrality,HIGH
N38,1766652279.584425,3.06,0.0,centrality,HIGH
N10,1766652292.178433,2.702,0.0,centrality,HIGH
N18,1766652292.178947,2.736,0.0,centrality,HIGH
N23,1766652292.180105,2.894,0.0,centrality,HIGH
N31,1766652292.180466,2.861,0.0,centrality,HIGH
N41,1766652347.5868201,36.405,0.0,centrality,HIGH
N2,1766652348.423019,26.085,0.0,centrality,HIGH
N35,1766652348.423805,26.285,0.0,centrality,HIGH
N45,1766652349.095521,22.758,0.0,centrality,HIGH
N33,1766652351.448614,17.817,0.0,centrality,HIGH
N48,1766652392.27092,17.037,0.0,centrality,HIGH
N15,1766652392.271508,12.019,0.0,centrality,HIGH
N12,1766652392.2734048,8.339,0.0,centrality,HIGH
N26,1766652398.823786,4.637,0.0,centrality,HIGH
N38,1766652399.9417741,4.542,0.0,centrality,HIGH
N10,1766652412.532703,4.04,0.0,centrality,HIGH
N18,1766652412.533273,4.092,0.0,centrality,HIGH
N23,1766652412.538806,4.328,0.0,centrality,HIGH
N31,1766652412.539786,4.279,0.0,centrality,HIGH
N2,1766652476.3669848,28.65,0.0,centrality,HIGH
N41,1766652476.3680892,40.228,0.0,centrality,HIGH
N35,1766652476.371385,28.869,0.0,centrality,HIGH
N45,1766652476.374004,24.799,0.0,centrality,HIGH
N33,1766652476.379523,19.077,0.0,centrality,HIGH
N48,1766652512.6437209,18.255,0.0,centrality,HIGH
