node_id,timestamp,risk_score,trend,model,level
N41,1766652085.212403,0.76,0.0,linear,HIGH
N2,1766652085.7191522,0.753,0.0,linear,HIGH
N35,1766652086.72106,0.803,0.0,linear,HIGH
N45,1766652090.5655801,0.767,0.0,linear,HIGH
N33,1766652091.56692,0.772,0.0,linear,HIGH
N48,1766652092.574767,0.796,0.0002,linear,HIGH
N15,1766652093.585226,0.765,0.0002,linear,HIGH
N12,1766652102.1382809,0.758,0.0,linear,HIGH
N38,1766652110.899132,0.751,0.0,linear,HIGH
N26,1766652110.8995872,0.759,0.0,linear,HIGH
N23,1766652141.937151,0.755,0.0,linear,HIGH
N31,1766652141.9375381,0.753,0.0,linear,HIGH
N18,1766652144.1430368,0.76,0.0,linear,HIGH
N10,1766652154.016782,0.752,0.0,linear,HIGH
N2,1766652223.014304,16.059,0.0,linear,HIGH
N41,1766652223.0149481,17.972,0.0,linear,HIGH
N35,1766652223.015362,13.839,0.0,linear,HIGH
N45,1766652223.016063,10.239,0.0,linear,HIGH
N48,1766652223.016628,7.936,0.0,linear,HIGH
N15,1766652223.01735,6.594,0.0,linear,HIGH
N33,1766652223.0178938,8.894,0.0,linear,HIGH
N12,1766652223.019624,3.525,0.0,linear,HIGH
N38,1766652231.210577,2.657,0.0,linear,HIGH
N26,1766652231.212113,2.686,0.0,linear,HIGH
N23,1766652261.945654,2.953,0.0,linear,HIGH
N31,1766652261.946878,2.948,0.0,linear,HIGH
N18,1766652264.311743,2.708,0.0,linear,HIGH
N10,1766652274.040981,2.317,0.0,linear,HIGH
N2,1766652343.8935199,31.884,0.0,linear,HIGH
N41,1766652343.894194,35.682,0.0,linear,HIGH
N35,1766652343.894641,27.477,0.0,linear,HIGH
N45,1766652343.895023,20.329,0.0,linear,HIGH
N48,1766652343.895394,15.755,0.0,linear,HIGH
N15,1766652343.897116,13.091,0.0,linear,HIGH
N33,1766652343.9001348,17.659,0.0,linear,HIGH
N12,1766652343.9020832,6.999,0.0,linear,HIGH
N38,1766652351.449239,4.93,0.0,linear,HIGH
N26,1766652351.4496799,4.984,0.0,linear,HIGH
N18,1766652392.2722619,3.884,0.0,linear,HIGH
N23,1766652392.27534,4.338,0.0,linear,HIGH
N31,1766652392.276324,4.332,0.0,linear,HIGH
N10,1766652394.283539,3.116,0.0,linear,HIGH
N2,1766652476.3672042,31.713,0.0,linear,HIGH
N41,1766652476.3692548,35.491,0.0,linear,HIGH
N35,1766652476.371522,27.329,0.0,linear,HIGH
N45,1766652476.373586,20.221,0.0,linear,HIGH
N48,1766652476.375511,15.67,0.0,linear,HIGH
N15,1766652476.376775,13.021,0.0,linear,HIGH
N33,1766652476.3797288,17.565,0.0,linear,HIGH
N38,1766652476.384789,4.672,0.0,linear,HIGH
N26,1766652476.386278,4.724,0.0,linear,HIGH
N12,1766652476.3878021,6.961,0.0,linear,HIGH
N18,1766652512.645709,3.873,0.0,linear,HIGH
N23,1766652512.649579,4.325,0.0,linear,HIGH
N31,1766652512.651391,4.32,0.0,linear,HIGH
N10,1766652514.651266,3.154,0.0,linear,HIGH
N2,1766652597.760522,31.775,0.0,linear,HIGH
N41,1766652597.7612731,35.561,0.0,linear,HIGH
N35,1766652597.763129,27.382,0.0,linear,HIGH
N45,1766652597.766454,20.261,0.0,linear,HIGH
N48,1766652597.7683141,15.701,0.0,linear,HIGH
N15,1766652597.77244,13.048,0.0,linear,HIGH
N33,1766652597.774333,17.599,0.0,linear,HIGH
N38,1766652597.7782762,4.681,0.0,linear,HIGH
N26,1766652597.778929,4.733,0.0,linear,HIGH
N12,1766652597.779872,6.975,0.0,linear,HIGH
N10,1766652646.07884,2.666,0.0,linear,HIGH
N18,1766652646.079443,3.297,0.0,linear,HIGH
N23,1766652646.084021,3.682,0.0,linear,HIGH
N31,1766652646.084982,3.678,0.0,linear,HIGH
N2,1766652730.6682649,26.14,0.0,linear,HIGH
N41,1766652730.668864,29.255,0.0,linear,HIGH
N35,1766652730.66934,22.527,0.0,linear,HIGH
N45,1766652730.6715488,16.668,0.0,linear,HIGH
N48,1766652730.6742961,12.915,0.0,linear,HIGH
N15,1766652730.676054,10.734,0.0,linear,HIGH
N33,1766652730.677218,14.477,0.0,linear,HIGH
N38,1766652730.681001,3.851,0.0,linear,HIGH
N26,1766652730.682873,3.894,0.0,linear,HIGH
N12,1766652730.684577,5.738,0.0,linear,HIGH
N10,1766652766.9316878,2.475,0.0,linear,HIGH
N18,1766652766.932294,3.059,0.0,linear,HIGH
N23,1766652766.9386072,3.417,0.0,linear,HIGH
N31,1766652766.939434,3.414,0.0,linear,HIGH
N2,1766652851.020009,24.344,0.0,linear,HIGH
N41,1766652851.0216699,27.244,0.0,linear,HIGH
N35,1766652851.0239239,20.979,0.0,linear,HIGH
N45,1766652851.0265799,15.521,0.0,linear,HIGH
N48,1766652851.028589,12.027,0.0,linear,HIGH
N15,1766652851.0298262,9.995,0.0,linear,HIGH
N33,1766652851.0313332,13.482,0.0,linear,HIGH
N38,1766652851.034286,3.587,0.0,linear,HIGH
N26,1766652851.034922,3.626,0.0,linear,HIGH
N12,1766652851.037516,5.343,0.0,linear,HIGH
N10,1766652902.3900359,1.908,0.0,linear,HIGH
N18,1766652902.3905659,2.36,0.0,linear,HIGH
N23,1766652902.3929348,2.635,0.0,linear,HIGH
N31,1766652902.3934772,2.633,0.0,linear,HIGH
N2,1766652983.956809,19.045,0.0,linear,HIGH
N41,1766652983.9574988,21.314,0.0,linear,HIGH
N35,1766652983.95933,16.413,0.0,linear,HIGH
N45,1766652983.9632719,12.144,0.0,linear,HIGH
N48,1766652983.9656231,9.409,0.0,linear,HIGH
N15,1766652983.967177,7.819,0.0,linear,HIGH
N33,1766652983.970995,10.548,0.0,linear,HIGH
N38,1766652983.9737012,2.806,0.0,linear,HIGH
